,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,10 likes,2 images,bicycle Felt racing in excellent condition,"1,100 1,200",Lightly used,Meetup,4 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,Cape Royale,1.2413126,103.83978068,lauraadel26917,Joined 5 months ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/bicycle-felt-racing-in-excellent-condition-1227751838/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rntPEaifUwt4DZ9B&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2283
11,6 likes,3 images,🆕FOREVER Shadow 30 Speed Hybrid Race Bike | Disc Brake MicroNew City Bicycle,399,Brand new,Meetup,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Price Is For 1 Full Bike(FIRM)
Ready Stock & Brand New


☑️Ready Stocks, No Pre-order required. 

☑️FREE : Full Bike Assembly & Tuning

☑️FREE 3 Months of Tuning & Adjustment Limited Warranty

☑️FREE Limited Time Gifts :   Bell / Tools / Bottle Cage / Kickstand
(WORTH : $30)  *Note* Installation not provided for free gifts parts



📍Size Available :
700c (Suitable for 160-195cm Rider) 




🔸Installment Plan Available🔸
[CONTACT US FOR MORE INFO]




                🤝DEALING OPTIONS🤝

◾Self Collection  @ 9002 Tampines St 93 / Singapore 528836 (Appointment Only) 🏢

OR 

◾ 🚚Island Wide Bike Delivery🚚 @ Additional $35




Specifications :

Frame: FOREVER Shadow Aluminium Alloy

Shift Lever : MicroNew 30 Speed

Front Derailleur: MicroNew 3 Speed

Rear Derailleur: MicroNew 10 Speed

Crank : Prowheel 3 Speed Crankset

Brake : Mechanical Disc Brake

Tyre : Kenda 700*25c 



☑Follow our Telegram Channel for latest products & upcoming promotions 
t.me/bikecosg

☑Check out our Listings for more Bicycle, Parts & Accessories
",N,NA,NA,Y,9002 tampines St 93 Level 4,1.34127586,103.94134977,bikeco,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1k,https://www.carousell.sg/p/🆕forever-shadow-30-speed-hybrid-race-bike-disc-brake-micronew-city-bicycle-1241532888/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=LcSLfmyp-7__plsS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1406
12,1 like,6 images,Fulcrum speed 40c clincher for sale,"1,300",Lightly used,Meetup,4 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Fulcrum speed 40 clincher for sale. Comes with GP5000 23c tires, skewer. Campy freehub. Like new condition as seldom used.",N,NA,NA,Y,Queenstown,1.29299403,103.80576919,hedgehog78,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,67,https://www.carousell.sg/p/fulcrum-speed-40c-clincher-for-sale-1243648846/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=r2e0CzDL4Eoew7Kc&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=474
13,43 likes,6 images,Genuine UK Raleigh vintage bike,250,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Genuine UK Raleigh bike.  Pls refer to pics. Needs some work but easily settled or use for parts. Priced to clear... FCFS.

Bedok.",N,NA,NA,Y,Bedok Reservoir Park,1.33966,103.933703,bikesnparts,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,88,https://www.carousell.sg/p/genuine-uk-raleigh-vintage-bike-1238303771/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2440
14,13 likes,10 images,Carbon Argon 18 E112 TT Roadie Fixie Full bike Sale,"1,450",Lightly used,Meetup,4 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Argon 18 E112 Complete bike for sale
Full Carbon Frameset
Made in Canada
Size:  XS
Rare n beautiful red-white colourway.
Bike is currently setup as a Single Speed but I've used Fixed Gear Velocity wheels on it too, without issues. 

I've had this bike for over a year and it's a comfy and cool ride to the nearby cafes, to the beach, PCN and to Work - all of which I have done enjoyably and its awesome exercise! 

- Cinelli Pepper bars
- Specialized Short stem
- Dia-Compe front brakes
- ODI grips
- FSA Carbon Cranks w sealed bearings
- Gear ratio: 2.44
- Meroca pedals
- White DT Swiss Wheelset with White DT Swiss hubs - amazingly smooth.
- Continental Tyres.

Note:
- Pictures 9 & 10 are for illustration with different wheelsets. This sale comes only with the DT Swiss Spoked white  wheelset.
- The fork steerer tube is left slightly longer so TT bars & spacers can fit.
- The seatpost clamp rear bit has been modded and verified non-slip.
- the rear wheel uses a straight-thru axle bolt but you can use a skewer too. 

Very slight paint chips but NO cracks. Actually almost pristine condition.

Not Trading and No Refunds.

Thanks & Ride safe all!!",N,NA,NA,Y,Kovan MRT Station (NE13),1.36027861,103.88529062,soulman77,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,120,https://www.carousell.sg/p/carbon-argon-18-e112-tt-roadie-fixie-full-bike-sale-1243639910/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=r2e0CzDL4Eoew7Kc&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=479
15,417 likes,1 image,Gcycle - road bike hybrid bike bicycle mtb java trinx raleigh giant,399,Brand new,Mailing · Meetup,3 weeks ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"Ready stocks 
Road bike, hybrid bike, mountain bike, foldable bike available 
Bicycle range from 399-1800

Brand : Dahon, hito, java , rifle , fnhon, 3sixty, pikes  
Price starts from 380-800

Viewing, test ride, Self collection available 
Free Delivery

Shop : Gcycle
Contact number : 8875 8715 
Address : kapo factory building, Block A, 03-03)",Y,Custom courier Free,2 working day(s),Y,"Kapo Factory Blk ABlock A, 03-03
Contact no : 8875 8715 (Mark)",1.337558,103.886957,gcycle,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,4.9,65,https://www.carousell.sg/p/gcycle-road-bike-hybrid-bike-bicycle-mtb-java-trinx-raleigh-giant-1102709312/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=mHKXp9ZD-f3OwFol&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2066
16,22 likes,5 images,Carbon Fibre Roadbike VISP,800,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Full bike weight 8.2kg.

Carbon fibre frame, fork, seatpost. Aluminium wheetset and handlebar.

Shimano 105 groupset. Hidden routing. Gears indexed well.

With a wired magnetic speedometer. 

Size S. 170cm rider 

Brought it at 1600$. Ridden Sparsely only. Too many bikes at home. 

Price fix. No negotiation.",N,NA,NA,Y,138B Toa Payoh Lorong 1A,1.33631093,103.84565413,bike_loft,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,291,https://www.carousell.sg/p/carbon-fibre-roadbike-visp-1240693374/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-SG-OUHu5bFS2HW0&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1689
17,21 likes,7 images,TREK Emonda SL6 - Size 50,"4,050",Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,,N,NA,NA,Y,Sengkang MRT/LRT Interchange (NE16/STC),1.39153028,103.89538449,ohheyyoh,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/trek-emonda-sl6-size-50-1241303511/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=hVU9bxzo7O6aHURa&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1481
18,17 likes,2 images,Canyon Aero SLX 8,"6,490",Like new,Mailing · Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Almost new.
Ultegra groups etc
SiE XS
*Does not include accessories eg.pedal, back camera, etc)",Y,Same day delivery S$10,Within 1 working day,Y,Compass One,1.39234956,103.89506811,shinobi07,Joined 10 years ago,Very Responsive,Verified,NA,NA,NA,4.9,36,https://www.carousell.sg/p/canyon-aero-slx-8-1239268496/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fE_PmI5gsJMfuo-b&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2127
19,10 likes,6 images,Pas Normal Studios - Men’s Escapism Light Bibs,300 325,Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Pas Normal Studios 
Men’s Escapism Light Bibs
Night Blue
Small

",N,NA,NA,Y,Orchard Road,1.30318371,103.83509159,tytan7,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,7,https://www.carousell.sg/p/pas-normal-studios-men’s-escapism-light-bibs-1240267915/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1853
20,22 likes,1 image,[FAST DEAL $700] Java Siluro 3 White Aero road bike 2021,750,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Java Siluro 3 Aero road bike 2021. 10.5kg
Specs:
18 speed Shimano sora
-Carbon fork ( shock absorbing for better riding
experience
- ﻿Decaf dropbar Shifters
- ﻿Shimano Sora R3000 front and rear derailleur
- ﻿Mechanical disc brake
- ﻿Deca aero lightweight alluminium wheelset
 Comes with decathlon freebies 
Pm for more details ",N,NA,NA,Y,Blk 749A Woodlands Circle,1.44475287,103.79430056,the_wayyyyyy,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.7,15,https://www.carousell.sg/p/fast-deal-700-java-siluro-3-white-aero-road-bike-2021-1242435709/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1030
21,5 likes,1 image,Shimano Dura Ace R9250 shifters Di2,775,Brand new,Meetup,5 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"SHIFT/BRAKE LEVER SET, ST-R9250, DURA-ACE, 2X12- SPEED",N,NA,NA,Y,Serangoon Garden Way,1.363623,103.86754,tlce86,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,84,https://www.carousell.sg/p/shimano-dura-ace-r9250-shifters-di2-1243527276/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=521
22,7 likes,6 images,Standert Triebwerk Disc Steel Road Bike,"5,000",Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","interested pls pm.
all included, pls see photos.
mechanical groupset.
bought from standert direct in 2021
size 50

",N,NA,NA,Y,Phoenix Walk,1.375937,103.758411,tanyujun,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,39,https://www.carousell.sg/p/standert-triebwerk-disc-steel-road-bike-1243328969/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=633
23,4 likes,10 images,"2009 Giant TCR Advanced 1 with SRAM Red 22 group set, Zipp 202 Firecrest, Zipp Speed/SL cockpit, Rim Brake, 6.8kg","5,288",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Giant TCR Advanced 1 Size ML 
SRAM Red 22 Rim Brake Group set
SRAM Red GXP Crankset 53/39
SRAM Red XG 1190 11-28T cassette 
SRAM Red 22 chain
Wheels Manufacturing GXP BB86/92 Twist Fit Bottom Bracket
Zipp 202 Firecrest Clincher Wheelset
Zipp Speed Carbon Stem 100mm
Zipp SL Carbon 400mm Drop bar
Sworks Power Arc Carbon Saddle

All parts painstakingly gathered, and put together by the good folks at Spin Axis using quality housing and cable (Shimano). No expense spared in completing the parts, notably the 660g GXP crankset. Final bike weighing in at 6.8kg. 


Video taken at shop after assembly:

",N,NA,NA,Y,Fernvale LRT Station (SW5),1.39234404,103.87626688,groovybeats,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,115,https://www.carousell.sg/p/2009-giant-tcr-advanced-1-with-sram-red-22-group-set-zipp-202-firecrest-zipp-speed-sl-cockpit-rim-brake-6-8kg-1241887308/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FJT3StX2wQq4rthn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1272
24,23 likes,4 images,Road bike for sale,350,Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Still in good condition. 
",N,NA,NA,Y,Sengkang,1.39087843,103.89513016,iskimia,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,7,https://www.carousell.sg/p/road-bike-for-sale-1228266578/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fE_PmI5gsJMfuo-b&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2106
25,16 likes,9 images,Cervelo R5 size 48,"5,500",Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought frame brand new from BNB (size 49)2018 latest rim brake model.
Groupset R8050 also brand new except for the shifter is second hand and built up myself.
- Enve ses3.4 wheelset with CK hub , clincher 
-enve stem and handlebar ( bought BN from elitcustom.90x400mm
-2X enve bottle cage (bought from elitcustom)
-crankset 170 mm with rotor q ring (50/34)
-c bear ceramic bb
-selle sanmarco cfx shortfit( bought 2 week ago)
View to believe and test ride are welcome.
Basically all high end parts and ready to race .",N,NA,NA,Y,Ocean Wash 24H Laundromat,1.425938,103.82801,smileguy83,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.9,399,https://www.carousell.sg/p/cervelo-r5-size-48-1240137646/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1892
26,5 likes,10 images,ORBEA ORCA,"2,988 3,088",Lightly used,Meetup,3 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Carbon frame and saddle full R8000 groupset
700cc 40mm maric cosmic wheel set
Fast pick up speed
Bike size : 51
Rode less than 400km
No time to ride",N,NA,NA,Y,Marsiling Park,1.43828543,103.77028942,hog_rider,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,55,https://www.carousell.sg/p/orbea-orca-1229309680/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1797
