,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,3 likes,1 image,Cervelo S3 Framset,"1,000",Like new,Meetup,21 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,Original owner.  Size 58cm,N,NA,NA,Y,Tan Chin Tuan Mansion,1.305292,103.83759,kron36,Joined 4 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,107,https://www.carousell.sg/p/cervelo-s3-framset-1244336843/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=9AGzrJcfxld7i_vp&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=89
11,37 likes,5 images,ORBEA ORCA AERO M10ILTD Silvergreen (Mint),"10,000",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,"ORBEA ORCA AERO M10ILTD Silvergreen (Mint)
- Size 51 (I’m 175/176cm)
- Groupset Dura Ace R9270 Di2
- Crank (50-34T), Cassette (11-30T)
- SHIMANO R9270 C60 DISC CARBON TL CL
- Shimano Pro STEALTH SUPERLIGHT SADDLE
- DURA-ACE SPD-SL Pedal  

Actually price $16000
PM for more details or pictures.
Negotiable.
Zero Crash or Scratch.",N,NA,NA,Y,Singapore / Singapura / 新加坡 / சிங்கப்பூர் (Singapore),1.29095597,103.85221481,aidid_dominik,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,37,https://www.carousell.sg/p/orbea-orca-aero-m10iltd-silvergreen-mint-1216393950/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UnrXlG_3uMNFYsMg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=140
12,Like,9 images,Road bike Tirban RC 120 8 Speed - grey,450,Lightly used,Meetup,5 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Including bike stand , rechargeable front & back light, 2x bottle holder and lock. ",N,NA,NA,Y,Oxley Mansions26 Oxley Road 238620,1.29886561,103.84085894,gigsvong,Joined 6 years ago,NA,Verified,NA,NA,NA,5.0,12,https://www.carousell.sg/p/road-bike-tirban-rc-120-8-speed-grey-1243323289/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=KxtAUR_1ZDEfQx2t&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=619
13,9 likes,4 images,MAVIC WHEELSET,180,Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"bought the wrong size so it doesn't work for my bike.

comes with the sprocket and tire

tru-axle/quick release

for road bikes


DM for anymore questions",N,NA,NA,Y,Admiralty MRT Station (NS10),1.44065462,103.80107163,_nnikpred,Joined 6 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,27,https://www.carousell.sg/p/mavic-wheelset-1232871359/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UnrXlG_3uMNFYsMg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=126
14,2 likes,3 images,Kids Bicycle,40,Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Moving out sale!! Lightly used!!

This is 14” inch kids bicycle.Suitable for 3-4 years age.

Self collection!! ",N,NA,NA,Y,Blk 403 Tampines Street 41,1.35765541,103.94506491,yb9j9jpt4f,Joined 1 year ago,NA,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/kids-bicycle-1244219401/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UnrXlG_3uMNFYsMg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=155
15,19 likes,3 images,Trek Madone 3.5  road bike for sales,"1,000",Like new,Mailing · Meetup,4 days ago,Road Bikes,Posted,Used once or twice. As good as new.,Bought in 2014. Still in good condition ,Y,Express delivery S$40,1 - 2 working days,Y,Gateway Drive,1.33478869,103.74234325,davidlimcheekhiang,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/trek-madone-3-5-road-bike-for-sales-1243599108/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=QX1VpFNXSo08sylW&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=468
16,Like,2 images,"20% off BRAND NEW 2021 Orbea Avant H30-D Endurance Bike was $2,889 NOW just $2,311","2,889",Brand new,Mailing,6 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Direct from the Singapore distributor, this bike is brand new and assembled by Orbea-trained mechanics
Available colours/sizes
Military Green-Gold - 47

FRAME - Orbea Avant Hydro disc, hydroformed triple butted aluminium, HS 1,5"" ICR, BB 68mm – BSC English, Thru Axle 12x142mm rear, thread M12x2 P1, Internal Cable Routing, SP 27.2mm, MMS system.
FORK - Orbea carbon fork 2021, aluminium steerer, 1-1/8"" head tube
CRANKSET - Shimano RS510 34x50t
HEADSET - Acros Alloy 1-1/2"" Internal Cable Routing
HANDLEBAR - OC1 Road, riser 15mm, reach 70mm, drop 125mm
STEM - OC1 31.8mm interface -6º
SHIFTERS - Shimano ST-7020
BRAKES - Shimano R7070 Hydraulic Disc
CASSETTE - Sun Race CSRS3 11-34t 11-Speed
REAR DERAILLEUR - Shimano 105 R7000 GS
FRONT DERAILLEUR - Shimano 105 R7000
CHAIN - Fsa Team Issue
WHEELS - Orbea wheel: Corsa with 12mm E-Thru hubset Shimano RS470 28H
TYRES - Vittoria Zafiro V Rigid bead 700x28c
SEATPOST - Alloy 27.2 Offset 20
SADDLE - Fizik Aliante R5
HANDLEBAR PLUGS - Orbea Eva
FRONT WHEEL AXLE - Orbea Thru Axle 12x100mm M12x2 P1 Solid
REAR WHEEL AXLE - Orbea Thru Axle 12x142mm M12x2 P1 Solid",Y,Standard delivery Free,3 - 4 working days,N,NA,,,Orbea_Singapore,Joined 11 months ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/20-off-brand-new-2021-orbea-avant-h30-d-endurance-bike-was-2-889-now-just-2-311-1243136396/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Aekje4yYgcIf2YYl&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=836
17,2 likes,3 images,Parlee Z5,"2,700",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Parlee Z5 small/tall size (my height is 174cm)
-full like new ultegra R8000 groupset except for SROAD 11-28 lightweight cassette, 170mm crankset, ultegra pedals
-KMC EL chain 
-teflon brake and gear cables
-reynolds assault carbon wheelset with cream wall conti gp5000, titanium skewers. 
- enve 100mm 17 deg stem and 420mm handlebar (oem)
   Wahoo computer mount included
-authentic superleggera seatpost
-san marco saddle


6.9kg build. 
Price is negotiable",N,NA,NA,Y,Tanah Merah MRT Interchange (EW4),1.32721597,103.94647143,bevj72,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,340,https://www.carousell.sg/p/parlee-z5-1243789676/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=eG6galT9M2-EKoRl&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=382
18,1 like,4 images,Focus Izalco Max Sz S(52),"6,900",Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2021 Focus Izalco Max 9.7
New 105 di2 groupset with Ultegra crankset installed Jan2023 (not shown in photos, request if you want more pics)

Just serviced at Chapter 2.
Fresh ciclovation bartape.
Upgraded Ultegra rotors.
Ultegra crankset.

Everything else is stock and taken care of in excellent condition, very very light signs of use. tiny dings, scratches as any used bike will have. Exception of scratches at the BB area due to SRAM chain dropping (prev groupset was SRAM), but is not visible unless you’re looking for it.

Other specs:
-Easton EC90 aero bars 400mm
-Focus proprietary stem 100mm
-DT Swiss ARC1450
-Ultegra crankset 165mm 52/36, cassette 11-34
-Prologo dimension saddle

No pedals, cages",N,NA,NA,Y,Serangoon Garden Market & Food Centre,1.3635576,103.86706,ehdalai,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.9,74,https://www.carousell.sg/p/focus-izalco-max-sz-s-52-1244212304/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UnrXlG_3uMNFYsMg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=161
19,15 likes,10 images,Wilier Garda (Black / Astana Blue Glossy) - Road Bike,"5,016",Brand new,Meetup,21 hours ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"Frame : Wilier Garda
Colour : Black / Astana Blue Glossy
Size : S
Groupset : Shimano 105 Di2 R7170
Crankset : 170 50/34
Cassette : 11-34
Wheelset : Vision Trimax 30
Price : $5,016

We are BikeMartSG where we sell premium bicycle products at the most affordable pricing in Singapore.

Address : 140 Sims Avenue, Singapore 387462
Hours : Monday to Saturdays, 12pm to 7.30pm
Phone/Whatsapp : +65 8806 1843",N,NA,NA,Y,Bikemart SG Pte. Ltd.,1.314273,103.878864,bikemartsg,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,185,https://www.carousell.sg/p/wilier-garda-black-astana-blue-glossy-road-bike-1209163716/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UnrXlG_3uMNFYsMg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=135
20,23 likes,7 images,Trek MT220,100,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Famous brand. Used, but very well maintained regularly. ",N,NA,NA,Y,The Marbella博多もつ鍋 悟喰 Japanese Restaurant Goku,1.31450471,103.7782087,liulinyi,Joined 8 years ago,Mostly Responsive,Verified,NA,NA,NA,4.8,16,https://www.carousell.sg/p/trek-mt220-1231820847/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6iwfW94Kv3J_Fzag&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=767
21,1 like,3 images,Kids Bicycle,60,Like new,Meetup,3 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Kids bicycle taken from Decathlon in 2022 for 130 dollar. I have the receipt as well. Attached reciept as well. Selling as relocating to India.

I have 2 adult bicycle also to sell for 150 dollars each, let me know if interested ",N,NA,NA,Y,Mariam WayBallota Park,1.3610835,103.96709596,sandipk89,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/kids-bicycle-1243903840/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3uUA59bbuyK4836t&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=310
22,21 likes,8 images,Trek Emonda SL6,"5,500",Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"selling a lightly used Trek Emonda SL6 (Size 54)(367km mileage as per my Garmin trackin) bought from treknology in April 2022.
frame decals added to make it look close to SLR model

selling due to giving up riding roadbike and focus on riding Bromptons

no falls/cracks/scratches

You as the 2nd owner have a 3 year warranty on frame and fork from my date of purchase. buy with a piece of mind.receipt of bike puchase from Treknology will be provided.

Stock:
○Fork steerer uncut
○Ultegra R8020 shifter/brakes, front & rear derailleur, brake calipers, cassette (11 speed -11/28)
○Bontrager saddle
○20mm offset seatpost mass

upgrades done:
●Trek RSL-VLC integrated carbon handlebar (100 stem length/ 42width) this is the new replacement after the batch of recall by Trek
●Dura ace Rotors
● Enve SES disc 5.6 with Enve hub(non ceramic bearings) port over from previous bike + Continental GP5000 tube tyres (28c)
●Rotor Aldhu cranks(165mm) + Rotor 50/34 oval chainring
● Ultegra R8000 clipless pedals
●zero offset seatpost mass

does not include lights/garmin,bottlecage.
☆garmin 1030 plus and Bontrager ION RT front rear lights can be discussed separately in the sale

I'm 1.71m for reference and bike is suitable for taller riders with/without  the setback seatpost mass

no trades or parting out sales. Price is firm.",N,NA,NA,Y,Blk 441D Fernvale Vista 1,1.39228617,103.87508065,hkspower,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,105,https://www.carousell.sg/p/trek-emonda-sl6-1242952102/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Aekje4yYgcIf2YYl&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=818
23,27 likes,2 images,Specialized SL7,"5,200",Like new,Meetup,5 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Size 49 
Bought in June’23 
Sram Rival E tap 
Enve drop bar 40mm 
Top up 1600 for zipp 303s ",N,NA,NA,Y,Block 26D Jalan Membina,1.282665,103.82465,bikesbikesbikes,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.2,16,https://www.carousell.sg/p/specialized-sl7-1243325454/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=KxtAUR_1ZDEfQx2t&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=618
24,21 likes,10 images,FRAMESET Scott Foil RC Rims Brake with Original Scott Syncros Aero Carbon Integrated Handlebar,"2,499",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"For Sale,
FRAMESET Scott Foil RC Rims Brake with Original Scott Syncros Aero Carbon Integrated Handlebar, 420/100mm 

Frame Size:S,52

Last Generation Rims Brake Model of Scott Foil RC.

only selling FRAMESET❗️❗️❗️

Carbon Material HMX, the top of the range Scott Foil. 
The Hardest,Strongest and Advanced Carbon Material of SCOTT

Price:$2,499(Frameset with Cockpit)

*add on $280 if want Shimano Dura-Ace BR-R9110 F+R Direct Mount Brakeset

very good condition 9.5/10 as picture shown, hardly used less than 1500km, very well protected as baby like new frame.
There are also still many spacers for the new owner to adjust.

PM me for more details if you are interested,Thank you.",N,NA,NA,Y,Tampines,1.9430773,103.41042071,daniel_122,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,6,https://www.carousell.sg/p/frameset-scott-foil-rc-rims-brake-with-original-scott-syncros-aero-carbon-integrated-handlebar-1233069538/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Sk5sxkbN7Bz9sqb-&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=23
25,3 likes,10 images,Kuota Kyron 🇮🇹 (Dura Ace/Ultegra) di2 modified bike,"3,120",Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Kuota Kyron XS Size Bike
All components have been changed

BB386
Ultegra di2 front/rear derailleur 
Dura Ace di2 shifters & rim brakes
Fourier 15t/15t
Rotor Qarbon
KMC chain
ITM Pathom handlebar (new tapes)
Fizik Cyrano R1 Stem
Specialised power saddle 143mm
Well used tubular carbon rims
Note: Pedals and bottle holder not included. 

Bike is at my 2nd 🏠 in Johor. If there are interest, will arrange to bring the bike into SG. 

Slightly nego for interested buyer. Do not hesitate to ask any questions",N,NA,NA,Y,Hillview MRT Station (DT3)hillV2,1.36230672,103.76721577,tiburonshrk.sg,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,12,https://www.carousell.sg/p/kuota-kyron-🇮🇹-dura-ace-ultegra-di2-modified-bike-1243231172/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=KxtAUR_1ZDEfQx2t&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=664
26,4 likes,1 image,Bicycle,89,Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","-20 inch
-can switch gears
-Helmet is for free",N,NA,NA,Y,Fernvale,1.3899416,103.87564632,fish_xiaoxiao,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/bicycle-1243878829/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3uUA59bbuyK4836t&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=320
