,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,3 likes,1 image,Trek Madone 5.2 size 54,"2,000",Well used,Meetup,6 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Full carbon road bike trek madone 5.2 with shimano ultegra 10 speed. 
Weight 8kg. ",N,NA,NA,Y,Canberra Community Club,1.4451041,103.81995305,ling.x.long,Joined 8 years ago,NA,Verified,NA,NA,NA,5.0,3,https://www.carousell.sg/p/trek-madone-5-2-size-54-1243234437/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Wq_9sCUfuoLmsFZS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=680
11,37 likes,5 images,Cannondale CAAD10,"1,100",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Size: 50
Weight. 8kg
Frame: CAAD 10
Group set: Shimano Utegra 105",N,NA,NA,Y,Dakota MRT Station (CC8),1.30830554,103.8885741,wenderful,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.7,13,https://www.carousell.sg/p/cannondale-caad10-1232868525/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=167
12,26 likes,1 image,Caad 13 Size 54,"1,500 2,500",Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Selling Caad 13 Disc Size 54.

Brought locally from HL and upgrade parts.

Selling frameset at 1500 (with crank, saddle, handlebar and stem) or, full bike at 2500.",N,NA,NA,Y,Tampines East MRT Station (DT33),1.3562471,103.95483722,speedsk8te,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.9,69,https://www.carousell.sg/p/caad-13-size-54-1237914060/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=EO-DMEZWhyGo9GoT&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2593
13,Like,6 images,GIANT TCR ADVANCED 3 DISC,"1,650",Like new,Meetup,3 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"• S | Blue Ashes
• Frame: Advanced-Grade Composite, disc
•Fork: Advanced-Grade Composite, OverDrive steerer, disc
•Shock: N/A
•Handlebar & Stem: Giant Contact
•Seatpost: Giant Variant, composite
•Saddle: Giant Approach
•Pedals: Shimano
•Shifters, Front & Rear Derailleur: Shimano Tiagra
•Brakes & Brakes Levers: Shimano Tiagra hydraulic
•Cassette: Shimano Tiagra, 11x32
•Chain: X10-1
•Crankset: Shimano Tiagra, 34/50
•Bottom Bracket: Shimano, press fit
•Rims: Giant PR-2 Disc wheelset
•Hubs: Giant PR-2 Disc wheelset, 12mm thru-axle
•Spokes: Giant PR-2 Disc wheelset
•Tires: Giant Gavia Course 1, tubeless, 700x28mm (25c), folding
•Weight ≈ 8.9kg (EXTREMELY LIGHT)

‼️ OPEN TO REASONABLE NEGOTIATIONS ‼️ FAST DEAL ‼️",N,NA,NA,Y,Keat Hong LRT Station (BP3),1.37861811,103.74898044,wwgrx,Joined 9 months ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/giant-tcr-advanced-3-disc-1244494462/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2
14,2 likes,3 images,Pinarello dogma f Myway rim and disc,"9,500",Brand new,Meetup,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,Brand new,N,NA,NA,Y,singapore,3.077163,101.642144,bicyclestuffs,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,28,https://www.carousell.sg/p/pinarello-dogma-f-myway-rim-and-disc-1238431958/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2410
15,Like,1 image,"Bicycle Disc brake Single Speed Road bicycle 26"" Black   lightweight mtb  child baby seat food delivery children adult lady men bicycle accessories lock 16 20 24 26 27.5 29 inch "" 700c mesh rack  hybrid bike  WHATSAPP 88918377",190,Brand new,Mailing,2 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"✅ Sold over 500+ Bicycles. With 300+ positive reviews! 
✅FREE ASSEMBLY  
✅Visit our main Carousell account for purchase ( Gearlook )

✅Offical WebPage 
➡️ www.gearlook.sg/

Contact ➡️  8891 8377


Great for delivery riders or cyclists who is looking for a simple and light bicycle
 
- Whole bicycle 
- Free assembly of bike
- Comes with free maintenance tools

Specifications: 
• Frame: 18” High Carbon Steel Frame 
• Wheel: 26""""
• Weight: approximately 12.5kg
• Measurement: 168 x 95cm

Add on:
Bottle holder $6
Two led light $8
Bell at $3
Lock $10
Universal Bike Phone Holder $10 
(All above for $30)

Add on: Backrack $28
Add on: Helmet $23

Add on Shimano 7 Speed Gear $60:
➡️ sg.carousell.com/p/1018756921

",Y,Standard delivery S$15,3 - 4 working days,N,NA,,,yomobike,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,4.8,5,https://www.carousell.sg/p/bicycle-disc-brake-single-speed-road-bicycle-26-black-lightweight-mtb-child-baby-seat-food-delivery-children-adult-lady-men-bicycle-accessories-lock-16-20-24-26-27-5-29-inch-700c-mesh-rack-hybrid-bike-whatsapp-88918377-1244105365/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=pFcsFvDdlwJuiL3z&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=273
16,27 likes,3 images,Sworks Tarmac SL6 2019 (Disc),"8,000",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Hi all Im selling Sworks Tarmac SL6 2019 (Disc)
Size 52 (Pls refer to the size chart)
Ultegra Di2 8050 Groupsets (Hydraulic Disc)
Absolute black chainring installed on crankset (Pls refer to image)
Ultegra chainring will be provided as well
Gloss chameleon cyan blue
Zipp SL carbon stem
Zipp SL 70 carbon aero bar
Kogel ceramic bb
Specialised 4iii power meter
Fizik Antares Versus Evo R1 Adaptive (Black 139mm)
Wheelangel wheelset (44mm)
Servicing done by Komrade Bikes on June 2022
Functional Condition 10/10
Cosmetic Condition 9/10
No Trade
Deal at Bukit Panjang MRT station.",N,NA,NA,Y,Bukit Panjang MRT/LRT Interchange (DT1/BP6),1.37837353,103.76229183,desix93,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,139,https://www.carousell.sg/p/sworks-tarmac-sl6-2019-disc-1230124623/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=N9Fm4bT6sWVUFmqt&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1584
17,Like,1 image,Dotwheel,"1,000",Like new,Meetup,6 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"BMX/RB/velo/MTB

IT'S AVAILABLE IF U SEE THIS AD!!!
Not suitable for NOballer, LOWballer, NObudget, LOWbudget, fuzzy, need consult wife/husband/parents, story teller, poor buyer etc!!!

No More pics! No neg! No return! No refund! Know what you are buying!

WTS/WTT  included cash top to me only

No accessories included.

(Chromoly Steel)Trek 520(sprayed metallic purple) size 50 $1300
Full Campagnolo Athena 11 x 2 Speed
",N,NA,NA,Y,Punggol MRT/LRT Interchange (NE17/PTC),1.40531838,103.902411,kiwicycle,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,699,https://www.carousell.sg/p/dotwheel-1243316797/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=639
18,3 likes,10 images,Giant Tcr Advanced Pro 2018 R8000 Ultegra SLR1 Carbon Wheelset Full Road Bike,"1,750",Well used,Meetup,3 hours ago,Road Bikes,Posted,Has minor flaws or defects.,"Spec: 
•M size frame (suitable for 1.7-1.8cm)
•Shimano Ultegra R8000 Full Groupset 11speed
•Giant SLR-1 30mm Carbon Wheelset with Continental GP5000 Tyres 

Planning move out, need let go asap

Last picture: Bike frame got scratch if you don’t mind can come nego with me your best price.",N,NA,NA,Y,Clementi MRT Station (EW23),1.31509495,103.76489041,ds_p123,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,5.0,4,https://www.carousell.sg/p/giant-tcr-advanced-pro-2018-r8000-ultegra-slr1-carbon-wheelset-full-road-bike-1244492337/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6
19,9 likes,2 images,Hybrid Bicycle Riverside 100 DECATHLON in good condition (Riverside 120 Sold),160,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Decathlon Hybrid Bicycle Riverside 120 is in good condition for sale, very seldom used and maintained in good condition with proper lubrication and cleaning. Available to view in Choa Chu Kang DR (Yew Tee). If interested message me for testing.

1) River Side 100 6 speed V-Brake - Black (Medium) - 150 SGD
2) River Side 120 6 Speed V-Brake - Grey (Large) - 175 SGD - This is Sold 

I will also provide you with the following useful accessories:
- Water bottle holder
- Kickstand
- Upgraded ergonomic handlebar grip
 
Message me for more details. ",N,NA,NA,Y,Yew Tee MRT Station (NS5),1.3973278,103.74739517,kingchn,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/hybrid-bicycle-riverside-100-decathlon-in-good-condition-riverside-120-sold-1241907587/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FJT3StX2wQq4rthn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1266
20,Like,1 image,"Btwin Triban RC120, new condition with shop warranty",300,Brand new,Meetup,16 hours ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Btwin Triban RC120
New Condition with shop warranty

8 speed, 700c rim
Medium Aluminium Frame

Please see my listings for more bicycle options or contact us at 88111796 for more information 

Welcome to view and for test ride at our bike store located at Lipo building, 621 Aljunied Rd #07-07, 389834 

By Mrt : Mattar, exit B, take right turn for 2-3 mins straight walk to Lipo building

12pm to 8pm",N,NA,NA,Y,Lipo Building,1.32506834,103.87976789,simple.bicycles,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,806,https://www.carousell.sg/p/btwin-triban-rc120-new-condition-with-shop-warranty-1244429741/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=92
21,Like,5 images,Baby tricycle 1-5 years old,50,Like new,Meetup,4 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"*Foam wheel
*Metal toy
*Unisex
*purple colour
*assembled with detachable push handle",N,NA,NA,Y,"Tampines, Singapore",1.35479,103.95202,rekha_89,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,8,https://www.carousell.sg/p/baby-tricycle-1-5-years-old-1238752642/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rntPEaifUwt4DZ9B&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2294
22,19 likes,1 image,JAVA Siluro - Road Bike Bicycle,500,Lightly used,Meetup,5 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",size 48 ,N,NA,NA,Y,Fort Canning Park,1.2950748,103.84642124,bag888888,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/java-siluro-road-bike-bicycle-1243514986/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=525
23,6 likes,1 image,Canyon Ultimate CF SLX Rim Brake FORK,250,Brand new,Meetup,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Brand new fork for canyon ultimate rim brake (2020)
Ordered extra by mistake… huge loss in this sale. If you need a fork this is it!",N,NA,NA,Y,Blk.638 Woodlands Ring Rd.The Luma,1.43730378,103.80295339,eccw.chua,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,31,https://www.carousell.sg/p/canyon-ultimate-cf-slx-rim-brake-fork-1241787117/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0k6r_6eLznvzAb-9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1313
24,3 likes,1 image,"20‘’ Foldable tricycle 6 speed gear Bicycle can sit people 29 food inch child 27.5 thermal 26"" 16"" kid seat seat baby bag rack WHATSAPP 89501850",380,Brand new,Mailing,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 


20"""" Foldable Tricycle
6 speed gear

The total length is 170 cm, and the folded length is 110 cm 

You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,,,singaporecycles,Joined 3 years ago,Not Responsive,Verified,NA,NA,NA,4.9,8,https://www.carousell.sg/p/20‘’-foldable-tricycle-6-speed-gear-bicycle-can-sit-people-29-food-inch-child-27-5-thermal-26-16-kid-seat-seat-baby-bag-rack-whatsapp-89501850-1239780113/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=PgnviL6ynblPIHtG&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1979
25,4 likes,3 images,Wilier Cento1 Air Disc,"3,599",Like new,Meetup,18 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"Wilier cento1 air disc 
(shimano ultegra R8000 series 11 speed cassette(11-28T) 

50T/34T chainring

Groupset - Ultegra R8000 front and rear derailleur

Ultegra R8020 hydraulic disc brakes

Fulcrum Racing 5 aluminum wheelset

Saddle - San Marco italia 

Ultegra Pedals and 2 x bottle cages included

Price Nego for serious buyer. PM for more info/pictures.",N,NA,NA,Y,The Bellewoods EC,1.29081868,103.85251522,latte80,Joined 7 years ago,NA,Verified,NA,NA,NA,5.0,13,https://www.carousell.sg/p/wilier-cento1-air-disc-1244411098/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=70
26,18 likes,9 images,Java Air road bike,850,Like new,Meetup,2 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Price can negotiate
Size L
Java carbon fork
Frame. Java Air Fuoco Carbon Fiber
Approx 9kg",N,NA,NA,Y,Bus Stop 54379 (Blk 475)Blk 409 AMK Market & Food Centre,1.36285312,103.8559052,chinfy_5327,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/java-air-road-bike-1244046799/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=288
