,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
17,1 like,10 images,[7.9kg]Cervelo S1 road bike alu frame with carbon fork,"1,500",Lightly used,Mailing · Meetup,39 minutes ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Cervelo S1 Size S [frame size 51cm, suitable for 160-173cm]
Ultegra crankset & shifter
Dura ace brake caliper & derailleur 
Toseek saddle 200g only

Wheelset: 
Fulcrum racing speed XLR 50mm
- superlight weight and worth $1k + 

Deda superzero drop bar
Bontrager elite stem
Creek crane headset
Original cervelo seatpost

Whole bike only 7.9kg include pedal 



",Y,Custom courier Free,3 working day(s),Y,Blk 206C Compassvale Lane,1.38788502,103.89746656,stand_bike,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1k,https://www.carousell.sg/p/7-9kg-cervelo-s1-road-bike-alu-frame-with-carbon-fork-1244497344/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0
18,2 likes,1 image,Raleigh 860 hybrid,350,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Bicycle is in quite new condition and comes with accessories like, side stand, bottle , bottle holder, lock, seatcover",N,NA,NA,Y,Yio Chu Kang Bus Interchange,1.38232331,103.84432145,swagitapathak1493,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/raleigh-860-hybrid-1237994731/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=V7GZdavnv2YvW1ug&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2566
19,Like,5 images,Java siluro 3 with TIAGRA road bike ,550,Lightly used,Meetup,an hour ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Java siluro 3 that’s in good condition, recently just went for servicing.
Dm for more info

Shifter: Shimano tiagra ST4700
Fd: Shimano tiagra
Rd: shimano tiagra
 
pasak wheelset",N,NA,NA,Y,Lakeside MRT Station (EW26)Can be discussed. ,1.34438658,103.72055369,cssss.__,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,42,https://www.carousell.sg/p/java-siluro-3-with-tiagra-road-bike-1244490304/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8
20,14 likes,9 images,Polygon Helios C4,400,Heavily used,Meetup,1 week ago,Road Bikes,Posted,Has obvious signs of use or defects.,"Heavily used Polygon Helios C4 bike for sale.
Hasn’t been riding this for over 1.5 years.
Condition not as good. Selling it cheap.
Not ready to ride.",N,NA,NA,Y,Blk 239 Compassvale Walk,1.39146928,103.89824814,our.little.talk96,Joined 7 years ago,Mostly Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/polygon-helios-c4-1241857718/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FJT3StX2wQq4rthn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1281
21,1 like,1 image,Merida Scultura 9000e '19 Road Bike (Disc Brake),"6,500",Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Full Build Setup:
1. Merida Scultura 9000e '19 Frame)(Size 49) (CF4) (Rare) 
2. Shimano Ultegra Di2 11 Speed Electronic Groupset
3. Shimano Dura Ace Disc Brake Disc RT-CL900 (160 Front / 140 Rear)
4. Shimano Ultegra Pedals coupled with Assioma Duo Power Meters
5. Lún Hyper 50mm Ride Bikes Bro Team Edition Wheelset with Coloured Spokes (Probably the only 1 in SG @ Guranteed Head Turner and also one of the wheelset that requires lesser watts from you to spin)
6. Michelin Power cup 28cc (Still Usable)
7. Continental Tube (Front Wheel) & Vittoria TPU Tube (Rear Wheel)
8. Fizik Antares Versus Envo R3 Adaptive Saddle
9. The One Integrated Handle Bar 42cm x 90cm (Carbon Fibre)
10. Ceramic Speed OSPW (Legit)
11. C-Bear Bottom Bracket
12. Rapidlock Thru Axial Wheel Mounting System (Way easier to secure and remove your wheels, eliminating the need to bring an Allen Key around and totally remove the risk of Allen key slot rounding)

As you can see, this bike is built to climb the heights, yet at the same time, it grants you effortless breakneck acceleration. Handlebar & Wheelset had also been carefully chosen to balance the bike between aerodynamics and weight saving.

The frame colour is Chameleon Green (Different colour under different angles and lighting condition), which camouflages the brand name that will make fellow cyclists curious about your bike brand and model, which serves as an ice breaker. The colour of the wheel spokes also will make fellow cyclists curious. I can say that this bike is loud yet at the same time, a stealthy bike.

Last measured, full bike setup weighs around 7.4kg.

If straight up deal and no negotiation, I will even throw in my Front Light (Enfitnix Navi800) and Radar Tail Light (Megane L508) + Garmin Edge 530 Asia, Coospo Wrist HRM and whatever accessories i can find to you for free.

I am around 173Cm, if you are around my height and looking for a straight grab and go bike, this is it. 

Rfs: No time to ride (I am not urgently selling)

Lowballers will be ignored. No time to deal with individual part sales as well.",N,NA,NA,Y,"Blk 271C Punggol FieldBlk 271D Punggol Walk, damn app still haven't fix their location issue.",1.40340301,103.90138019,iamthewind,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,67,https://www.carousell.sg/p/merida-scultura-9000e-19-road-bike-disc-brake-1244080796/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=279
22,2 likes,2 images,Giant advance fastroad,"3,000 3,500",Well used,Meetup,4 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Giant advance fastroad bought in 2020. 
Carbon frame

Size L

Upgraded to winspace hyperwheel carbon wheelset and conti gp5000 tyre

Accessories not included ",N,NA,NA,Y,Blk 178 Woodlands St 13,1.4346495,103.77774596,icyberg,Joined 8 years ago,NA,Verified,NA,NA,NA,5.0,24,https://www.carousell.sg/p/giant-advance-fastroad-1239010700/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XOcjX40NGTj-vB1y&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2224
23,18 likes,1 image,Cycling Group,0,Brand new,Meetup,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Hello to All…

This group called “Pacers” we are looking to expand by adding more riders into the group. We are mainly looking for road bikers, doesn’t matter age or cheap/expensive bike or race.

In the future we are expanding by having a personal website catered to “Pacers” & will be making a custom made jersey specifically for the team

We host a ride every weekend & ride most of Singapore Area.
You may host a ride too!

This group is mixed of teenagers & adults
We all ride in safely manner and follow all the traffic regulations 

Please do ride safely and abide by the existing traffic regulations.

Last but not least it’s FREE to join😆!

Im not too sure why i cant link whatsapp group here but instead please pm your number and your name to join! 
This is not a scam😆 you have a choice to join 🙂

Thanks you and have a nice day!
",N,NA,NA,Y,Singapore / Singapura / 新加坡 / சிங்கப்பூர் (Singapore),1.29058,103.852064,only__lux,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,4.9,217,https://www.carousell.sg/p/cycling-group-1241109925/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=N9Fm4bT6sWVUFmqt&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1568
24,Like,6 images,Deliveroo bag,20,Brand new,Meetup,3 months ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Deliveroo bag
All brand new,
come with bag casing, bicycle helmet, phone mount",N,NA,NA,Y,AMK 443 Eating House,1.3662307,103.85487556,bakasingyi,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,26,https://www.carousell.sg/p/deliveroo-bag-1227579108/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2443
25,8 likes,7 images,GIANT REVOLT 1,"1,500",Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","M Size.

RFS: Selling due to not riding anymore. 

NEVER Abused: Bike is well taken care off with only a few small scuffs on the brakes due to leaning on the wall. Never crashed before. 

FREE GIFTS: Pedals come FREE. Bottle Cages will stay on if asking price is met. 

Fast deal at $1300. Need to sell ASAP.",N,NA,NA,Y,Sengkang MRT/LRT Interchange (NE16/STC),1.39153028,103.89538449,ethanhix,Joined 8 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,66,https://www.carousell.sg/p/giant-revolt-1-1243232055/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Wq_9sCUfuoLmsFZS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=682
26,4 likes,1 image,Cannondale Caad 8,"1,500",Well used,Meetup,Yesterday,Road Bikes,Posted,Has minor flaws or defects.,"Looking to sell my Cannondale Caad 8
- Size 54, for reference I am 169cm and fits perfectly
- Good condition, just minor paintchips
- Bike is ready to go, no need to replace or service parts

Specifications
> 50mm Carbon Wheelset
- Continental Ultrasport
> Carbon Fibre Hubs
> Shimano 105 Cranks
> Shimano Ultegra Derailleur
> Shimano 105 Shifters
> Ultegra Rim brakes
> Shimano R550 Pedals
> Thomson Elite 27.2 Seatpost
> Thomson 31.8 Seatclamp 
> Fizik Arione Saddle
> Zipp Service Course stem (110mm, 17d)
> FSA Vero Compact Bars (400mm)
- Zitto Diamond Bartape

Price as stated, able to negotiate. Feel free to offer. Looking to let go as not cycling as often anymore. Deal at my convenience, able to discuss. 

Thank you for viewing my listing 🙏",N,NA,NA,Y,Admiralty MRT Station (NS10),1.44065462,103.80107163,ayaneko,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,34,https://www.carousell.sg/p/cannondale-caad-8-1244247201/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AKenagH3WyunJ-Yr&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=163
27,2 likes,3 images,Bird & Fish 24 inches 24 gears,100 120,Like new,Meetup,3 days ago,Road Bikes,Bumped,Used once or twice. As good as new.,Very rarely used bicycle. Almost like new. ,N,NA,NA,Y,D'nest,1.37166419,103.94638077,aa1201420,Joined 11 months ago,Not Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/bird-fish-24-inches-24-gears-1235336036/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=353
