,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
69,179 likes,5 images,Pinarello Paris Sram Rival AXS MOST Carbon Road Bike Wheelset dogma,"5,600",Lightly used,Meetup,2 hours ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","100% Authentic, Warranty from Pinarello will be sent to new owner, all original manuals given to next owner

Frame 
- Pinarello Paris Full carbon (Size 53 )
- Groupset - Sram Rival ETAP AXS electronic
- upgraded with Sram force cassette 12 Speed with Front and Rear 160mm disc
- Wheelset - MOST Ultrafast 40mm Carbon Wheelset w Pirelli tyres
- Finshing Components - Pinarello MOST
- All original documents provided 

What you see is what you get!

Self collect / Viewing done at Queenstown

Thanks for reading!",N,NA,NA,Y,Shell Commonwealth / Stirling,1.29751232,103.80335527,hoppypotato,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,407,https://www.carousell.sg/p/pinarello-paris-sram-rival-axs-most-carbon-road-bike-wheelset-dogma-1215300568/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=b1FV8RBgwscmiZ5G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=743
70,35 likes,2 images,[Rarely Used] Cannondale CAAD10 3 Ultegra (Size 50),"1,800",Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Cannondale CAAD10 3 Ultegra for sale (rarely used).
Condition: 9/10.

I’m selling it because I hardly use it; I prefer using my Brompton instead.

Frame: CAAD10, Smartformed 6069 Alloy, SPEED SAVE, BB30

Fork: CAAD10, SPEED SAVE full carbon, 1-1/8” to 1-1/4” tapered steerer

Crank: FSA SL-K Light Carbon, BB30, 50/34

Bottom Bracket: FSA BB30

Shifters: Shimano Ultegra 6700

Cog Set: Shimano Ultegra 6700, 12-25, 10-speed

Chain: Shimano Ultegra 6700, 10-speed

Rims: Mavic Aksium WTS",N,NA,NA,Y,Waterway PointPunggol Plaza,1.40542469,103.902411,ttan90,Joined 4 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,11,https://www.carousell.sg/p/rarely-used-cannondale-caad10-3-ultegra-size-50-1238310559/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2437
71,4 likes,9 images,"Road Bike Bianchi B4P, full carbon, full Campagnolo Chorus (semi pro bike)","3,800",Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Road bike Bianchi B4P, full carbon, sub-8kg. Semi pro bike with 55' frame (equals size M). Classic in Bianchi celeste. Complete Campagnolo Chorus group. Campagnolo Zonda 700x23 wheels. Fizik saddle in Bianchi celeste. Top condition, accident free. Cassette and chain recently changed. Selling without pedals (everybody has his own system). - Just brought a new one from Germany along, so now one road bike too much at home. S$ 3,800 – pick up Joo Chiat, test ride possible. ",N,NA,NA,Y,Katong Shopping Centre,1.30372002,103.9009881,sven0000,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,5.0,8,https://www.carousell.sg/p/road-bike-bianchi-b4p-full-carbon-full-campagnolo-chorus-semi-pro-bike-1238444329/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2405
72,6 likes,5 images,Vintage bikes,580,Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Vintage steel Simoncini, Shimano 105/600 shifters/brakes, 
Shimano bio-pace cranks.
New rims& tyres, saddle
Size 52,",N,NA,NA,Y,Jurong West st 72,1.34682796,103.69788445,blue.ice234,Joined 3 years ago,NA,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/vintage-bikes-1243546746/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=505
73,2 likes,3 images,Enve Compact Road Bar - 38cm,580,Brand new,Meetup,2 months ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Selling a brand new Enve carbon road bike compact handlebar
- 38cm
- non Di2 model
- Comes with Enve end plugs
- Compact

Still new in packaging but no box",N,NA,NA,Y,Tembeling Road,1.31201125,103.90170693,royalewithcheese,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,77,https://www.carousell.sg/p/enve-compact-road-bar-38cm-1232910998/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=179
74,36 likes,10 images,Garcia Zeru 7.3kg Ultegra R8000 Road Bike,"1,600",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","❗️FAST DEAL ❗️ please read below

Garcia frame and Egress wheels are local brands from RNE Bike Shop. Great bike, very light and aero.
retail would have been about $4k+

Size 50 if I'm not wrong (I'm 170 for reference)
Weighs about 7.3kg

Full Shimano Ultegra R8000

✔️R8000 shifters
✔️R8000 front and rear derailleur
✔️R8000 cranks 50-34
✔️R8000 rim brakes
✔️R8000 clipless pedals
✔️3T aeronova carbon drop bar
✔️ENVE carbon stem

✔️Egress Racing 50mm rims, Sapim Spokes
✔️Pirelli P Zero 25mm tyres
✔️JBC saddle

✅️ try outs are okay

❗all accessories are not included unless requested

▪️serviced when i first got it and regularly cleaned it. I haven't used it in a while however so still in gd condition
▪️will clean b4 selling
▪️bike is all ready to ride
▪️self collect thanks",N,NA,NA,Y,Bedok,1.2920775,103.8498142,mywkbuggy,Joined 3 years ago,Mostly Responsive,Verified,NA,NA,NA,4.9,81,https://www.carousell.sg/p/garcia-zeru-7-3kg-ultegra-r8000-road-bike-1242813154/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=MGv4OUbhGcKoUr8c&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=898
75,10 likes,9 images,Stelbel Ti9 Titanium Road Bike,"16,000",Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"One of the renowned titanium bike manufacturers from Italy Stelbel. Fully kitted out with campagnolo groupset and wr components. Last but not least Lightweight Wheelset. 

Bike was kept in storage but very well maintained. Paint is protected with ceramic coating. 

excellent condition. view to believe.",N,NA,NA,Y,Rs Cycle,1.319437,103.913997,500rscycles,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/stelbel-ti9-titanium-road-bike-1242276585/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1082
76,11 likes,4 images,KHS  FLITE 750 half carbon Road bike,650,Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","KHS Flite 750 Road bike lightly used and well take care
Shimano Ultegra wheel set and Hub
Shimano 105 shifter group set and sells Italia seat",N,NA,NA,Y,Blk 639 Bedok Reservoir Rd Singapore 410639,1.33157543,103.90458226,19myomintun,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,11,https://www.carousell.sg/p/khs-flite-750-half-carbon-road-bike-1243212727/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Wq_9sCUfuoLmsFZS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=703
77,9 likes,10 images,Tern Surge Pro 52,"3,300",Like new,Mailing · Meetup,4 weeks ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Rfs: Wife’s bike. Pristine condition. No time to ride due to busy work schedule and parenting.

Total spent > $6000 on it, many top of the line kits for Roadies newly installed this year. I still do regular maintenance/servicing. Our loss your gain.

See spec below:
Folk: Kitt Design Full Carbon
Seat post: Wheelsport adv
Saddle: Specialized power pro elaston mimic
Wheelset: Timi Carbon 50mm 451 / DT Swiss DT350 upgraded 54T
Groupset: Shimano 105 R7000 (50/34T + 11/28T)
Bearing: Ridea Ceramic BB
Pedals: Shimano pd-eh500 Dual
Drop bar: Controltech Cougar Carbon
Bar tape: Supacaz super sticky Kush
Shifter/brake cable: Jagwire road elite link X4

Any question is welcome. Accept trade with Brompton M6R/L. Thank you!",Y,Same day delivery S$20,Within 1 working day,Y,Punggol MRT/LRT Interchange (NE17/PTC)Oasis LRT Station (PE6)See 2+ locations,1.40531838,103.902411,originalkarlstech,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,139,https://www.carousell.sg/p/tern-surge-pro-52-1237577766/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=kvvAdmVCNyg10WcJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2172
78,12 likes,5 images,Hybrid Bicycle (BT WIN),100,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",This cycle still using. very fast running.infront break something less working. other all ok. PM for more information.,N,NA,NA,Y,Bus Stop @ Aft Fernvale Ln,1.39039793,103.87416269,hasanmahabub,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1,https://www.carousell.sg/p/hybrid-bicycle-bt-win-1238573488/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=PkeVFY9vEcrIDG9U&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2348
79,7 likes,2 images,Bike in good condition,22,Well used,Meetup,2 weeks ago,Road Bikes,Bumped,Has minor flaws or defects.,NA,N,NA,NA,Y,Botanic Gardens MRT Interchange (CC19/DT9),1.32232379,103.81487976,fernf,Joined 5 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,6,https://www.carousell.sg/p/bike-in-good-condition-1220728723/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0k6r_6eLznvzAb-9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1323
80,Like,6 images,POLYGON,600,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Polygon helios 200. Redone. Size 51.
RFS. Quit riding. 

Racing bike. Exercise.",N,NA,NA,Y,Blk 431 Bukit Panjang Ring Rd,1.38587462,103.77078741,wanstuffs,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,64,https://www.carousell.sg/p/polygon-1241598052/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=xtwi_9JPhWIBh-TS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1384
81,1 like,10 images,[7.9kg]Cervelo S1 road bike alu frame with carbon fork,"1,500",Lightly used,Mailing · Meetup,3 hours ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Cervelo S1 Size S [frame size 51cm, suitable for 160-173cm]
Body frame condition is superb good. 
Overall bike condition like new and in riding condition, can come view to believe 

Ultegra crankset & shifter
Dura ace brake caliper & derailleur 
Toseek saddle 200g only

Wheelset: 
Fulcrum racing speed XLR 50mm
- superlight weight and worth $1k + 

Deda superzero drop bar
Bontrager elite stem
Creek crane headset
Original cervelo seatpost

Whole bike only 7.9kg include pedal 

#giant #trek #pinarello #specialised 



",Y,Custom courier Free,3 working day(s),Y,Blk 206C Compassvale Lane,1.38788502,103.89746656,stand_bike,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1k,https://www.carousell.sg/p/7-9kg-cervelo-s1-road-bike-alu-frame-with-carbon-fork-1244497344/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0
82,13 likes,6 images,LN JAVA Vesuvio Carbon Road Bike,"1,058",Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Java Vesuvio 700c Carbon Road Bike
L Size 55cm

Super Good Condition!

•Full Carbon Fiber Frame
•Shimano 105 Shifter
•Shimano 105 Rear Derailleur R7000
•Shimano 105 Front Derailleur R7000
•11-28T cassette
•Decaf Hollowtech Crankset
•Decaf Semi Hydraulic Disc Brake
•DECAF Wheelset
•Loud Hub
•IIIPRO SEMI-HYDRAULIC BRAKES A8000 140MM FRONT 140MM ROTORS ; BRAKE PADS ARE NEW (Upgraded from Stock Brakes; cost me $160)
•CARBON FORK (NEW)
•Chain lubed, ready for ride
•Weight is around 8.9-10.5kg w/o Accessories
•Good for 170-185cm

Not looking for trades. Able to deliver to your place!


Bought from the bike station sg in amk, still under warranty.

#java #carbonroadbike #roadbike #vesuvio",N,NA,NA,Y,Lakeside MRT Station (EW26),1.34426913,103.72071206,welovebicycles,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,4.9,144,https://www.carousell.sg/p/ln-java-vesuvio-carbon-road-bike-1242324898/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1061
83,5 likes,4 images,Definitive ISP “The One” full carbon Road Frameset 49cm,"1,600",Brand new,Meetup,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Was $4800 now:$1600
From France.

Full Carbon Road Frameset with Integrated Seatpost
Size: 700c

Monocoque Carbon UD
With
Vibration Stays Absorb technology
lateral Inflexibility System
Direct Cable Integrator

Fork: Carbon Tapered Steerer
seatpost: Profiled Integrated
FD: Brazed on
Bottom Bracket: BSC 68mm
Size:49cm
Eff. top tube: 509mm
Seat tube: 460mm
Seat tube plus integrated Seatpost 600mm

*item exclude installation
⚠️ only one set.  Payment via cash or PayNow only.

",N,NA,NA,Y,Blk 53 Paya Ubi Industrial Park#03-08,1.32529732,103.89815186,soonwatt,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.8,37,https://www.carousell.sg/p/definitive-isp-“the-one”-full-carbon-road-frameset-49cm-1242239906/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1093
84,Like,1 image,Rapha Pro,80,Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,Small ,N,NA,NA,Y,Blk 183C Rivervale Crescent,1.39100073,103.90857906,blackangel9413,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.9,119,https://www.carousell.sg/p/rapha-pro-1241439393/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=LcSLfmyp-7__plsS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1440
85,110 likes,1 image,Gios Steel Dura Ace 9000 11-speed,"1,500",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Gios Steel Frame
Dura Ace 9000 11-speed
Ridea Ceramic Oversized Cage

Full custom built carbon wheelset with carbon spokes 1.35kg

No pedals.

In storage most of the time.

For fitment 1.68m to 1.78m

A steel at a steal...",N,NA,NA,Y,Anchorvale,1.38907626,103.89140661,peppa76,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,450,https://www.carousell.sg/p/gios-steel-dura-ace-9000-11-speed-1229383982/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1845
86,11 likes,9 images,Creaking noise issues,0.01,Brand new,Meetup,1 month ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"Cyclists face squeaky, creaking noises while pedalling on their bicycles sometimes.

 It takes a mechanic with excellent troubleshooting skills to isolate the source of the noise.

Sometimes it can be the crankset, the spindle or bearings inside the bottom bracket, the chain, the jockey wheels, the derailleur in the rear, the cassette....the list goes on.

Patience and good listening ears are key to finding out where the squeak or creak comes from.

Eventually, we found that the bottom bracket needs to be removed and serviced.  Never leave any stone unturn.

Lesson learnt:
Always service your bicycle like you always service your car or motorcycle engines.

We welcome all cyclists with creaking noise coming from your bicycle while pedalling to come to our workshop for a ONE time free consultation and  service of your bicycle drive train system. 

Take note that we operate only on an appointment basis on every Saturday afternoon session from 3-7pm.

#cleannsmoothbike
#passioncycling
#perpetualspinonwheels",N,NA,NA,Y,The Salvation Armyby appointment only,1.36072504,103.84272978,bishancyclingnetwork,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,4.9,64,https://www.carousell.sg/p/creaking-noise-issues-1023816428/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2394
87,3 likes,3 images,Sidi Wire 2 Carbon 42.5,220 280,Like new,Meetup,2 days ago,Road Bikes,Bumped,Used once or twice. As good as new.,"SIDI Wire 2 carbon
Size 42.5
Use less than 5 times. 
Bought brand new at $550

Low ballers do not waste time. ",N,NA,NA,Y,Spottiswoode Residences,1.27541992,103.83609268,wonderkid15,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,14,https://www.carousell.sg/p/sidi-wire-2-carbon-42-5-1232869842/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=215
88,5 likes,3 images,Almost New Bicycle Sale - Selling Cheap,95,Like new,Meetup,23 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bot it online to use it to commute daily to work.  But found it too light for my liking.  More suitable for short distance cycling from Point A to Point B, eg. home to MRT, market, neighborhood mall, or just leisure cycling.  Bot at $135.  Rode once nia. Clearing at $95. Bicycle condition still like brand new... See to believe",N,NA,NA,Y,Yishun MRT Station (NS13),1.42912496,103.83520369,johann_teh,Joined 5 years ago,NA,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/almost-new-bicycle-sale-selling-cheap-1244359540/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=102
89,11 likes,3 images,Moving out sale - Bicycle for Sale,200,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,NA,N,NA,NA,Y,Bendemeer Road,1.31720867,103.86295673,niriha1993,Joined 4 years ago,Mostly Responsive,Verified,NA,NA,NA,3.0,2,https://www.carousell.sg/p/moving-out-sale-bicycle-for-sale-1243037924/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aN77-fzQlDvWiF2W&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=781
90,35 likes,1 image,Factor O2 (Custom Built) with lightweight wheelset,"8,800",Like new,Meetup,3 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Factor O2 custom build with matching barstem (copper, gold) rim brake. Size 52, 420/90 barstem.  

Sram etap crankset 165, 50/34
Cassette 11-28T
Lightweight obermayer wheelset.

Weight less than 6kg . 
Total cost more than $20,000.
",N,NA,NA,Y,ESSO Upper Bukit Timah Road,1.34543294,103.77356415,Len.Lee,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,5.0,10,https://www.carousell.sg/p/factor-o2-custom-built-with-lightweight-wheelset-1227140396/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=V7GZdavnv2YvW1ug&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2554
91,Like,6 images,GIANT TCR ADVANCED 3 DISC,"1,650",Like new,Meetup,3 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"• S | Blue Ashes
• Frame: Advanced-Grade Composite, disc
•Fork: Advanced-Grade Composite, OverDrive steerer, disc
•Shock: N/A
•Handlebar & Stem: Giant Contact
•Seatpost: Giant Variant, composite
•Saddle: Giant Approach
•Pedals: Shimano
•Shifters, Front & Rear Derailleur: Shimano Tiagra
•Brakes & Brakes Levers: Shimano Tiagra hydraulic
•Cassette: Shimano Tiagra, 11x32
•Chain: X10-1
•Crankset: Shimano Tiagra, 34/50
•Bottom Bracket: Shimano, press fit
•Rims: Giant PR-2 Disc wheelset
•Hubs: Giant PR-2 Disc wheelset, 12mm thru-axle
•Spokes: Giant PR-2 Disc wheelset
•Tires: Giant Gavia Course 1, tubeless, 700x28mm (25c), folding
•Weight ≈ 8.9kg (EXTREMELY LIGHT)

‼️ OPEN TO REASONABLE NEGOTIATIONS ‼️ FAST DEAL ‼️",N,NA,NA,Y,Keat Hong LRT Station (BP3),1.37861811,103.74898044,wwgrx,Joined 9 months ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/giant-tcr-advanced-3-disc-1244494462/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2
92,13 likes,6 images,LOOK 795 Blade RS,"7,000",Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Selling this off to make way for a new addition to my family and considering the new 2023 Blade RS. A very well taken cared of LOOK 795 Blade RS in a rim brake configuration.

- 2021 frame set, bought from KHCycle in December 2021, built and collected in January 2022
- Comes with the latest aero post 3 and ADH handlebar combo
- 110mm LOOK stem
- Dura-Ace R9100 drivetrain 
- SRAM Force carbon crank arms with AbsoluteBlack oval rings (DUB spindle)
- Quarq dual sided powermeter
- BB Infinite Ceramitech bottom bracket 
- Vortex No Compromise N6 60mm full carbon spokes wheel set, Vittoria Corsa NEXT tubeless tires
- DT Swiss hub internals upgraded to 54T
- Fizik Argo Vento R5 155mm saddle
- Ultegra pedals

Full setup and a complete bike for a new owner. Extremely beautiful bike to ride on, balancing both comfort and aero positions on any rides. Quality is equally as good as those known market brands, LOOK is cheaper because it does lesser marketing hence doesn’t have the consumers pay for it. 

Negotiation welcome, reasonably.

Feel free to arrange with me for a viewing!",N,NA,NA,Y,Fernvale LEA,1.39665389,103.87776159,youfounddom,Joined 9 years ago,Not Responsive,Verified,NA,NA,NA,5.0,53,https://www.carousell.sg/p/look-795-blade-rs-1241204548/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gMRLCAAd4x5OVnEu&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1547
93,1 like,4 images,Focus Izalco Max Sz S(52),"6,900",Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2021 Focus Izalco Max 9.7
New 105 di2 groupset with Ultegra crankset installed Jan2023 (not shown in photos, request if you want more pics)

Just serviced at Chapter 2.
Fresh ciclovation bartape.
Upgraded Ultegra rotors.
Ultegra crankset.

Everything else is stock and taken care of in excellent condition, very very light signs of use. tiny dings, scratches as any used bike will have. Exception of scratches at the BB area due to SRAM chain dropping (prev groupset was SRAM), but is not visible unless you’re looking for it.

Other specs:
-Easton EC90 aero bars 400mm
-Focus proprietary stem 100mm
-DT Swiss ARC1450
-Ultegra crankset 165mm 52/36, cassette 11-34
-Prologo dimension saddle

No pedals, cages",N,NA,NA,Y,Serangoon Garden Market & Food Centre,1.3635576,103.86706,ehdalai,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.9,74,https://www.carousell.sg/p/focus-izalco-max-sz-s-52-1244212304/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=183
95,16 likes,4 images,Boardman race 2013 road bike,"1,000",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Selling because i have major exam coming up soon and no time to cycle

Lightly used condition, used once a week for medium length rides last time, now once a month.

Fulcrum racing quattro lg wheelset 
Ultegra 6800 full groupset
look pedals
deda stem
should be deda handlebar as well

Slightly negotiable, will include one spare light 

Lights,bag,bell,bike computer not included

Pm if you have any questions thanks!",N,NA,NA,Y,Buona Vista MRT Interchange (EW21/CC22)Blk 18C Holland DriveSee 1+ locations,1.30710715,103.79056212,yourlocalpenguin,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,4.8,40,https://www.carousell.sg/p/boardman-race-2013-road-bike-1240721556/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UjKEfDhZ58Wtk_79&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1675
