,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,Like,1 image,"bicycle basket rack 29 adult child inch lady 20"" mesh 16"" 27.5 seat thermal seat kid Put baby children 26"" delivery 24"" food bag WHATSAPP 89501850",15,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"🤙For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg


Self collection /  Delivery +$5
For urgent SAME DAY DELIVERY +$20
✅ For Paylah/Paynow to 8950 1850 (Wen) 


Material: Steel Wire
Size: 34 x 20 x 23 cm
Colour: Black
Weight: 1250g
Load: Hold up to 25kg
Applicability: Bicycle mountain bike/folding bike/commuter bike, etc. 

You can also visit 
➡️ ",Y,Standard delivery S$10,3 - 4 working days,N,NA,singaporemart,Joined 1 year ago,Mostly Responsive,Verified,1,0,1,5.0,26,https://www.carousell.sg/p/bicycle-basket-rack-29-adult-child-inch-lady-20-mesh-16-27-5-seat-thermal-seat-kid-put-baby-children-26-delivery-24-food-bag-whatsapp-89501850-1237891094/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=zFGamB3pInfeF0nv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2211
11,Like,1 image,"✅ Fit all size Foodpanda / Deliveroo / Grabfood Rider   thermal seat 16"" seat lady bag 29 24"" kid inch baby children 26"" Put WHATSAPP 89501850",25,Brand new,Mailing,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"🤙For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg


Self collection /  Delivery +$5
For urgent SAME DAY DELIVERY +$20
✅ For Paylah/Paynow to 8950 1850 (Wen) 



Backrack $25
Metal Rack (Choose Type A or B) $25



Features
* Strengthen the base of the thermal bag
* Secure your bag firmly on your bike
* Prolong the lifespan of the thermal bag

Metal Rack comes with
✅ Spanner
✅ Cable Tie
✅ Screw x4 (Screw Size 12) 
✅ Nut x4
✅ Bracket x2

You can also purchased from:
dashlab.sg/products/metal-rack-back-rack 


Self collection / viewing by appointment
   89501850 wa.me/6589501850

You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat



GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,littlekay.sg,Joined 2 years ago,Not Responsive,Verified,1,0,1,5.0,3,https://www.carousell.sg/p/✅-fit-all-size-foodpanda-deliveroo-grabfood-rider-thermal-seat-16-seat-lady-bag-29-24-kid-inch-baby-children-26-put-whatsapp-89501850-1241956382/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0ysmoC39FqmxkP06&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=683
12,8 likes,6 images,Almost New-Cervelo S5 Five Black Ultegra Di2 R8070 Zipp 404 Firecrest TLR,"14,500",Like new,Meetup,4 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Almost brand new  - bought in Jun 2023 
Cervelo S5 Five Black size 54
Shimano Ultegra Di2 R8270 12 Spd 
Zipp 404 Firecrest Tubeless 
Shimano SPD SL Pedals

See actual bike to appreciate 

Condition: 9/10 

RTS: Owner is moving out to overseas for further study 

Interested party pls contact 81570776",N,NA,NA,Y,Pro Cycle Bikes,Pro_Cycle_Bikes,Joined 2 years ago,Not Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/almost-new-cervelo-s5-five-black-ultegra-di2-r8070-zipp-404-firecrest-tlr-1242814931/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rImwtcmEbdcsmYDB&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=244
13,17 likes,1 image,2022 Specialized Allez Sprint Comp 54 SRAM Red,"1,900",Like new,Meetup,5 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"This is the 2022 model with internal cable routing with the sprint comp edition colour

1900 is for frameset only (frame, fork, custom sl7 headset, sworks stem, 36mm handlebar, sworks carbon seatpost)

7000 for the full bike without saddle, pedal, and bottle cages, bike only comes with full sram red etap axs 12 speed powermeter, roval rapide clx  v1 50/61mm

Rfs - im 185cm so the frame is too small, this size fits 170-175cm

PM me for more info, price is negotiable!",N,NA,NA,Y,Serangoon North,stevenhh,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,64,https://www.carousell.sg/p/2022-specialized-allez-sprint-comp-54-sram-red-1242674130/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=JTBJLRlctHi3Pm93&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=307
14,19 likes,4 images,2021 Specialized Diverge Expert Carbon Gravel Bike,"4,500 5,500",Lightly used,Mailing,1 week ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Sz 49 (I am 1.69m)
Never gone offroad
Used as training bike

",Y,Custom courier Free,3 working day(s),N,NA,zero_waste,Joined 9 years ago,Very Responsive,Verified,1,1,1,4.9,334,https://www.carousell.sg/p/2021-specialized-diverge-expert-carbon-gravel-bike-1230384341/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gnaFD4SFE9lc7Zk8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=861
15,31 likes,5 images,Factor O2 frameset,700,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","WTS Factor O2 frameset 
Condition: 9/10 (normal use marks)
Size 54 (M size, from 1.73m-1.85m)

Factor O2 Taiwan frameset (around 930g)
Steerer not slammed all the way
Free BBright (BB79) bottom bracket

OEM doesn't mean low quality. Look at the details in the paintwork/carbon weave (pic 3 & 4)

Rode the frame for a year with no issues 
Full bike weight: 6.73kg with accessories (pic 6)

RFS: Clearing space for new project
Fast deal: $650 
PM for more info and photos
*Sale is just the frameset. Doesn't include groupset, saddle, stem and handlebar

Note: Will disassemble bike when deal is confirmed",N,NA,NA,Y,57 Hume Ave,jinhengg,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,87,https://www.carousell.sg/p/factor-o2-frameset-1241338809/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AyMIJaKyWIhP32LI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=982
16,74 likes,2 images,Giant Propel Advanced Pro FRAMESET (2023),"3,800",Like new,Mailing · Meetup,1 month ago,Road Bikes,Posted,Used once or twice. As good as new.,"From TJ bought in March 2023. Latest and 2nd greatest line of Propel (right below the SL isp version)

Specs as below. Perfect frame with no drops or blemishes, just backside itchy post and see if any takers to feed my flipping behaviour and try other frames 😂 Upgraded stem to the carbon SL stem. ONLY FRAMESET.

Tonnes of height left on the steerer.

Mileage: 600km (and rolling)

Size: XS (157cm to 169cm)

Color: Blackcurrant

Frame: Advanced-Grade Composite, disc brake

Fork: Advanced SL-Grade Composite, full-composite OverDrive Aero steerer, disc

Handlebar: Giant Contact SLR Aero 400mm

Giant Contact SLR Aero, OverDrive Aero 100mm (upgraded)

Seatpost: Giant Vector, composite, -5/+15mm offset

BB: Dura-Ace (brand new)

Extras: computer mount, water bottle cages, SiGeYi direct mount hanger

NO PEDALS NO SADDLE NO BOTTLES",Y,Standard delivery Free,3 - 4 working days,Y,Blk 79 Telok Blangah Drive Food Centre,ridiculouskent,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,77,https://www.carousell.sg/p/giant-propel-advanced-pro-frameset-2023-1237608326/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bOktFdb77PbKJlzd&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2321
17,6 likes,10 images,"Moots Routt RSL size 54, custom paint, fully loaded","15,600",Well used,Meetup,4 days ago,Road Bikes,Posted,Has minor flaws or defects.,"This Routt RSL in a 54 frame has all the goodies:
‘Stanley’ anodised paint finish (inspired by the hotel in the movie The Shining, which is down the road from Moots’ HQ in Colorado).
Titanium stem with anodised logo. 
Titanium seatpost with extra anodised logo.
Comes with a spare Moots titanium seatpost with a setback (also with Moots logo).
Titanium seat clincher with extremely intuitive fore and aft adjustment. 
ENVE carbon bars 40cm.
Moots+Silca custom titanium computer mount with light / Go-pro mount underneath.
Titanium cages (you will NEVER lose your bottles with these!)
ENVE SES AR 3.4 rims (currently wearing Conti GP5000 32mm rubber) with Chris King hubs.
Electronic SRAM Force AXS WIDE 2x (43/30) 12sp (10-36). Note the WIDE - this Moots model requires it by design. 
Ceramic speed bottom bracket. 
The 3D printed saddle is 130mm; I can swap it for a Specialized Power 143mm if needed.
Bike built up last October by Bikes n Bites in Singapore, a fantastic Moots dealer (and shout out to Jerome).
A few scuffs from standard (road-only) use - fortunately any scuffs add character on a Ti frame. 
This bike from Moots with this paint scheme and extras would be SGD18k+, not to mention several months’ wait. 
Weight with cages, computer and light mounts (no pedals) and Conti GP5k 32mm tyres: 8.4kg. 
Pics from when new; pic 10 current (to show minor and hard to see scuff). 
This is the most comfortable bike I’ve owned - the titanium frame soaks up road chatter in a different way to carbon. On 35mm gravel tyres it’s pillowy, and on slick road tyres it smooths out crashy road imperfections. 

Reason for sale: thinning the herd for storage space. ",N,NA,NA,Y,Latitude,tele123,Joined 5 years ago,Very Responsive,Verified,1,0,1,4.7,15,https://www.carousell.sg/p/moots-routt-rsl-size-54-custom-paint-fully-loaded-1242948822/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=W1KEtKBmBwU-nFz6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=176
18,7 likes,9 images,Branded scott,400 550,Like new,Meetup,4 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Brand scott bought at 1200 usd imported,  super fast speed shimano gear rim big 28inch free helmet hurry pm me for fast deal, you all can google n check",N,NA,NA,Y,Singapore,manprince,Joined 5 years ago,Very Responsive,Verified,1,1,1,4.4,19,https://www.carousell.sg/p/branded-scott-1242798422/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rImwtcmEbdcsmYDB&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=250
19,10 likes,5 images,Wilier E9 GREY LIGHT BLUE L,"6,900",Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Brand: Wilier
Model: 0 SL DISC E9 GREY LIGHT BLUE L
Color: E9 - GREY LIGHT BLUE
Purchase :2022(5 yr warranty)
Upgrade:
1)Carbon Ceramic Oversized Pulley
2) Shimano Ultegra pedals R8000
3) KMC DLC 11 Road/MTB Chain",N,NA,NA,Y,Blk 487 Pasir Ris Drive 4,limsnow,Joined 5 years ago,Very Responsive,Verified,1,1,1,NA,NA,https://www.carousell.sg/p/wilier-e9-grey-light-blue-l-1240095063/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=vq2gb6z6HhwNnN1u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1429
20,39 likes,10 images,NEW STOCK. Bicycle AVYA 9 Speed 27 inch Aluminium Alloy MTB mountain road bike. Fully assembled & ready to ride.  Grey Only. For road and mountain bicycle. Thanks.,299 329,Brand new,Meetup,1 month ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"AVYA M024 Full Aluminium Alloy 27"" 9 Speed MTB ★Free items (worth $30) :  water bottle holder, key lock, Aluminium alloy HP holder, bell, front light & back blinker light (NO INSTALLATION). Additional charges of $5 for installation of the above free items ★
✅ Alum Alloy Frame 16"" size M w/ conceal shifter wire
✅ Original 9 Speed L-Twoo A5 Shifter & Derailleur
✅ MMTE Hydraulic Duo Pistons Disc Brake Front & Back
✅ Alum Alloy Handle 31.8mmx28""
✅ DT Swiss Lockable Front Suspension
✅ AVYA Gel Seat
✅ Front Quick Release Wheel
✅ DT Swiss Double Wall Alum Alloy Rim
✅ XRD Alum Alloy Wheel Hub
✅ Compass 27.5""x2.1 (584) Tire
✅ Bike Weight 15kg
✅ Max Carry Weight 150kg 

🌿 Bicycle Fully Assembled, Brake & Gear Tuned, Ready To Ride. 
🌿 Free items will not be installed.
🌿 Self-collection strictly @ 476 Segar Rd.
🌿 Price fixed. LOWBALLERS WILL BE IGNORED
🌿 Goods sold are non-refundable and non-exchangable.
🌿 Delivery $20-40 per bicycle subject to location.
🌿 Free items (worth $30) :  water bottle holder, key lock, Aluminium alloy HP holder, front light & back blinker light (NO INSTALLATION). Additional charges of $5 for installation of the above free items ★ FIRST COME FIRST SERVED

20"" 27"" foldable folding fnhon gust dahon pikes Brompton 3sixty birdy hachiko java sports cycling biking bicycle road scooter road mountain dirt bike motorbike riding kart foldable folding standing single double rack rear car bicycle rack SHIMANO car bicycle lock
",N,NA,NA,Y,Blk 477 Segar Road,ridergear,Joined 7 years ago,Mostly Responsive,Verified,1,0,1,5.0,117,https://www.carousell.sg/p/new-stock-bicycle-avya-9-speed-27-inch-aluminium-alloy-mtb-mountain-road-bike-fully-assembled-ready-to-ride-grey-only-for-road-and-mountain-bicycle-thanks-1234070639/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=IhdctWnk9gol0BTL&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2579
21,32 likes,7 images,Colnage V3,"5,700",Like new,Meetup,4 weeks ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Urgent Sale pls dun low ball
Bought this Colnago V3 last yr april from Hup Leong. Size 45s. Come with  Shimano Ultegra Di2.
Only ride less then 8 times n each time around 2-3km as im still a newbie. 
Urgent selling price nego but not pasar malam price pls. Can deliver right to yr door step. Payment by paynow or bank transfer
Low ballers pls stay away from here. ",N,NA,NA,Y,"Blk 108, Jln Bukit Merah",tony1302,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,46,https://www.carousell.sg/p/colnage-v3-1214833546/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=njJIduQ4l4ciRUUW&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2026
22,33 likes,7 images,Colnago Master Pui with Campagnolo Chorus  group set,"3,200 3,500",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","49cm Classic Colnago Master Pui  steel frame with Campagnolo Chorus group set. Shamal rims and campagnolo hubs. Very well maintain for this classic cum collection bike. Rarely ride it mainly for collection. Minor scratches due to age but no accident or dents on frames. 
Cheapest Colnago Master bike in Carousel. 
Selling due to moving house",N,NA,NA,Y,West Coast Parkcan deliver for genuine buyer,christay9889,Joined 6 years ago,Very Responsive,Verified,1,0,1,5.0,4,https://www.carousell.sg/p/colnago-master-pui-with-campagnolo-chorus-group-set-1242200079/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0QG0HuqBxfGXyj0V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=522
23,34 likes,2 images,Pinarello Dogma F12 Ineos 50cm,"10,000",Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Components:
- DA DI2 rear derailleur
- DA DI2 front derailleur
- DA 11-28 cassette
- DA 52/36 chainset
- DA 170cm crankset
- EE brakes
- DA bottom bracket
- DA brake/shift levers
- bottle cages x 2

Wheels:
- Campagnolo Bora Ultra 50

2nd owner
Ridden lovingly for years
Beautiful ride
Small cosmetic defects
Put a pair of pedals on and she’s ready to go
Selling as have gotten another bike
No low ballers please",N,NA,NA,Y,Upper Thomson MRT Station (TE8),adrianooi,Joined 8 years ago,Mostly Responsive,Verified,1,1,1,5.0,14,https://www.carousell.sg/p/pinarello-dogma-f12-ineos-50cm-1229051251/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=vq2gb6z6HhwNnN1u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1444
24,2 likes,7 images,Focus max izalco,"4,500",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Full carbon at 6.7kg
Full sram red 11
Mavic rsys slr carbon spokes
Dura ace pedal new
Just need to replace new tyres and go for a top riding bike",N,NA,NA,Y,Blk 136 Rivervale Street,mixalot,Joined 8 years ago,Very Responsive,Verified,1,1,1,4.9,88,https://www.carousell.sg/p/focus-max-izalco-1239772828/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=NIto8dAlUUROfnJA&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1511
25,4 likes,3 images,"Used Bicycle - BMX20"" Neorider",165,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Used Bicycle - BMX20"" Neorider
Bought a month ago,the bicycle itself is in very good condition and only used one or two times.Price is negotiable if you are interested, please call or nessage: 9369 6826",N,NA,NA,Y,Blk 101 Jurong East Street 13,siva.lakshaa,Joined 2 years ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/used-bicycle-bmx20-neorider-1241541148/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gnaFD4SFE9lc7Zk8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=869
26,17 likes,6 images,Kuota Kueen-K TT Bike,850,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"This triathlon bike has been use for a few races , it has not been used for the last 10 year. The bike has some rusty part as it was left at the balcony. Please see the pictures to have a feel of  the actual condition, need some servicing before it can be used again, other than that it has no damage part. Serious buyer you are welcome to view and make your offer. 
",N,NA,NA,Y,Parkway Parade,chuaeg.egc,Joined 4 years ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/kuota-kueen-k-tt-bike-1242183684/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0QG0HuqBxfGXyj0V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=530
