,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,38 likes,1 image,Argon E118 TT bike,"4,300",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Quarq power meter
Di2 
11 spd 
Size xs , rider height 160cm
New tires/service 
Knight 50 wheelsets 
Rim brake 
Aivee hubs 
165 crank

No trade, sold as full bike ",N,NA,NA,Y,Astor Green,benn07,Joined 2 years ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/argon-e118-tt-bike-1231511561/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aeWCRZcn663Mub3G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=238
11,13 likes,6 images,Bicycle/ Bike with 2 child seats,165,Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Front seat for child 1-5 years old (up to 20kg)
Back seat for older child (up to 40kg)
Basket
Lock
Gear change
Bell
Foot guard for back seat (prevent child’s foot from entangle in wheel)

Will throw in baby seat cushion (Ikea $10)",N,NA,NA,Y,Hougang Ave 7,yenle1,Joined 5 years ago,Very Responsive,Verified,0,1,1,5.0,7,https://www.carousell.sg/p/bicycle-bike-with-2-child-seats-1242630144/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=RhKUZucfkwyXqkCD&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=295
12,32 likes,7 images,Colnage V3,"5,700",Like new,Meetup,4 weeks ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Urgent Sale pls dun low ball
Bought this Colnago V3 last yr april from Hup Leong. Size 45s. Come with  Shimano Ultegra Di2.
Only ride less then 8 times n each time around 2-3km as im still a newbie. 
Urgent selling price nego but not pasar malam price pls. Can deliver right to yr door step. Payment by paynow or bank transfer
Low ballers pls stay away from here. ",N,NA,NA,Y,"Blk 108, Jln Bukit Merah",tony1302,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,46,https://www.carousell.sg/p/colnage-v3-1214833546/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=2_aptq-6WHkTwHcY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1998
13,31 likes,3 images,BMC Time Machine Road 01,"8,200 9,000",Lightly used,Meetup,4 hours ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Size 51
Only gold trimmings on matte black colour scheme
Dura-Ace Di2 drivetrain
Quarq Powermeter
Ceramic speed OSPW (unattached)
Zipp 404 Rims
Keo Blade Carbon 
Very well maintained ",N,NA,NA,Y,Heritage Residences,rayyew,Joined 8 years ago,Very Responsive,Verified,1,1,1,NA,NA,https://www.carousell.sg/p/bmc-time-machine-road-01-1240595521/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=38
14,4 likes,2 images,Trinx java sava Twitter road bike giant Merida hybrid bike,500,Brand new,Meetup,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Price ranges from $500-2000

Ready stocks 
Viewing, test ride, Self collection available 
Free Delivery

Brand available : Giant, Merida, Dahon, Fnhon, Crius, Java, Hito, Rifle, Twitter, Sava, Trinx, Raleigh, 3sixty

Shop : Gcycle
Contact number : 8875 8715 
Address : Kapo factory building, Block A, 03-03
Singapore 367998",N,NA,NA,Y,Kapo Factory Building03-03 ( Block A),gcycle,Joined 5 years ago,Very Responsive,Verified,1,0,1,4.9,65,https://www.carousell.sg/p/trinx-java-sava-twitter-road-bike-giant-merida-hybrid-bike-1239932949/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fDqalnGTdhwJaDLB&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1442
15,26 likes,1 image,Cannondale Hooligan,"2,290",Like new,Meetup,4 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,As good as a brand new. PM for more details.,N,NA,NA,Y,Compassvale Vista,tommy_difinger,Joined 9 years ago,Very Responsive,Verified,1,1,1,4.9,125,https://www.carousell.sg/p/cannondale-hooligan-1238228013/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=2_aptq-6WHkTwHcY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2000
16,7 likes,5 images,Used: Men BlackSheep Bib Shorts (XS),65,Lightly used,Mailing,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Brand: Black Sheep
Gender: Male
Colour: Gray
Size: XS
Condition: Used

No snag/rip/stain.  

Selling as this is just a little bit tight for my husband’s liking—he prefers S instead of XS. Both sizes will work for him, just personal preference.  He is no longer wearing his XS bibs in general—wears S across various Brands MAAP, Rapha (Core/Pro), Black Sheep, Assos.

All sales are final.  No return/exchange.

Looking to clear, no trade requests please.

Unable to do meet ups or accomodate pick up.

Standard shipping (no tracking).  Add 3.50 SGD for tracked shipment.  I am able to ship out on weekends.

PayNow / PayLah only.
",Y,Same day delivery S$50,Within 1 working day,N,NA,cheesepopcorn,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,38,https://www.carousell.sg/p/used-men-blacksheep-bib-shorts-xs-1240288695/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=B7EI4Swj_Yf930cZ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1355
17,20 likes,10 images,Giant Road Bike,540,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"18 speeds Shimano SORA
Wheel 700×28C SR3
C-Brake
Size-M",N,NA,NA,Y,Blk 207 Lorong 1 Toa Payoh,ttynghaur,Joined 2 years ago,Very Responsive,Verified,1,0,1,5.0,24,https://www.carousell.sg/p/giant-road-bike-1241840581/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TIymlxr_zUgvZFmg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=671
18,7 likes,2 images,Kid bicycle for 5-9 years old,50,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,Pasir Ris Bus Interchange,forrest.sun-39885,Joined 1 year ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/kid-bicycle-for-5-9-years-old-1242013463/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=wrjDhRbQu5l5UafY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=582
19,14 likes,2 images,Factor Ostro VAM Chrome,"10,600",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size 56 
Suitable for riders 178-185cm 
Used but not abused, minor scratches, no crashes
Incredible bike overall, light weight, very responsive and aero
RFS: Lost interest in cycling but not urgent to sell
Price negotiable but no lowballing please

Groupset: Ultegra Di2 12 speed, 172.5 crank, 52T(39) chainring
Carbon Wheelset: Shimano Ultegra C60
Tyres: GP5000 Cream Wall, 28mm
Seatpost: 25mm offset
Blackinc handlebar and stem: 120 stem, 40 wide
Will include black inc garmin mount and ceramic speed bb and headset

Pedals, saddle, bottle cages and accessories not included.
Bike is wrapped in transparent protective film

Regularly maintained at RS Cycles

Open to selling frame only for $6,800





tags: factor, ostro, vam, o2, sworks, specialized, merida, canyon, BMC, bianci, pinarello, dogma, 56, M, shimano, dura ace, ultegra, 105",N,NA,NA,Y,Food View (Blk 65 Telok Blangah Drive),walkin_onsunshine,Joined 7 years ago,Very Responsive,Verified,1,0,1,4.9,50,https://www.carousell.sg/p/factor-ostro-vam-chrome-1241478502/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=uFcAXsB0PzxesFso&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=869
20,8 likes,3 images,Bicycle 女仕脚踏车一架，男仕脚踏车一架,450 550,Heavily used,Meetup,2 months ago,Road Bikes,Posted,Has obvious signs of use or defects.,"2 for $450

Original price:
女仕脚踏车原价$880
男仕脚踏车原价$1200

因为骑了，所以出让",N,NA,NA,Y,Sheng Siong Supermarket,leechonghoo,Joined 3 years ago,Very Responsive,Verified,1,1,1,5.0,12,https://www.carousell.sg/p/bicycle-女仕脚踏车一架，男仕脚踏车一架-1230403774/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=uFcAXsB0PzxesFso&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=850
21,3 likes,7 images,"2021 Giant tcr adv pro 1, S size","2,298",Like new,Meetup,4 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"2021 Giant tcr adv pro 1
Very well condition, no scratch, never fall down
S size
Shimano ultegra r8000 groupset
New powerway r13 carbon wheelset, 38mm, loud hub
Ceramic Bottom braket(RP $118)
3T Ergonova team carbon handlebar(RP $260)
Shimano pro lt stem 100mm
Vittoria Rubin pro 25c tyre
Price firm",N,NA,NA,Y,607 Amk Ave 4,JazzBikeShop,Joined 5 years ago,Very Responsive,Verified,1,1,1,5.0,70,https://www.carousell.sg/p/2021-giant-tcr-adv-pro-1-s-size-1242821138/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=usBQjKnNoP0k5LsI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=201
22,17 likes,5 images,BMC Granfondo 01 Road Bike,"1,899",Lightly used,Mailing,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","BMC Granfondo 01 
Full Carbon Frame
Full ULTEGRA R8000 Groupset
with Ultegra Pedals
8.2kg
Size 51cm (160-175cm)
Cleaned Frequently and Well Taken Care
Last Serviced NOV 22’
Able to nego
Rfs upgrade to tt bike",Y,Standard delivery S$2.5,3 - 4 working days,N,NA,mavetan,Joined 3 years ago,Very Responsive,Verified,1,0,1,5.0,5,https://www.carousell.sg/p/bmc-granfondo-01-road-bike-1241638731/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=RIMzZLiECehHDXfq&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=786
23,27 likes,5 images,Boardman Elite Air 9.8 Carbon Aero Bike,"2,199",Well used,Meetup,2 days ago,Road Bikes,Bumped,Has minor flaws or defects.,"Brand: Boardman
Size: 50
Rider height: 164cm
Model: 2016 Elite Air 9.8
Condition: 8/10

Specification:
Frame: Full Carbon
Groupset: Fullset Shimano Ultegra 6800
Pedal: Shimano Ultegra 8000
Seat: Fizik Vento Argo R1 Carbon rail
Wheelset: Clincher Prime Black 50MM Carbon (Tubeless ready)
Tyre: Brand new 28mm Continental Grand Prix 5000 
Brake: TRP integrated rim brake. 
Handlebar: 3T carbon
Bottle Cage: 3T 

No obligation viewing but only at my convenience. Please do not schedule a weekday with me as I'm a busy working adult.

Price is negotiable. However, low ballers will be ignored and blocked.",N,NA,NA,Y,Oasis @ EliasPasir Ris MRT Station (EW1),wils777,Joined 1 year ago,Very Responsive,Verified,1,0,1,5.0,10,https://www.carousell.sg/p/boardman-elite-air-9-8-carbon-aero-bike-1231792718/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=28
24,7 likes,2 images,Polygon Heist 4.0 Hybrid Bicycle,380,Well used,Mailing · Meetup,2 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Polygon Hybrid bike that is perfect for both long distance cycling and off road terrain.

Featuring a strong and light Hydroformed Alutech 6061 Alloy Hybrid frame, SR Suntour suspension fork and road wheels fitted with wide tires, the Heist 4.0 crosses mountain bike toughness with the fast rolling smoothness of a road bike. Shimano Deore 30sp. group provides wide range gearing and powerful disc brakes for all weather performance along with durable Rigida double wall wheels.

Condition of the bike is still excellent and fully functioning as I have used it for much less than expected. However, the brake does screech a little when you brake hard, so some lubricant on the disc brake may be needed occasionally. Selling as I have no time to cycle since I had a baby. 

I can deliver this to your place for an additional $30. Otherwise, I can meet at Buona Vista or Holland Village MRT to deal. Visit the following link for full bike specs: ",Y,Express delivery Free,1 - 2 working days,Y,Buona Vista MRT Interchange (EW21/CC22),matthieu.ex,Joined 8 years ago,Very Responsive,Verified,1,1,1,5.0,25,https://www.carousell.sg/p/polygon-heist-4-0-hybrid-bicycle-1243121711/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=11
25,26 likes,5 images,Triban RC 500 Road Bike Size M,580,Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Triban RC 500 Road bicycle, size M frame. Less than 1000km mileage (last photo), preventive servicing by Decathlon twice. Bike regularly cleaned and oiled. Selling because of new kid, no time to ride. 

Everything stock except the handlebar tape  and tube dust cap. One patch work on one of the inner tube because of a leak (no puncture). 

Includes: 
- Kickstand
- Rear rack
- Water bottle holder
- 1x inner tube
All original from decathlon",N,NA,NA,Y,Block 890A Tampines GreenTerrace,purplesack,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,53,https://www.carousell.sg/p/triban-rc-500-road-bike-size-m-1239399770/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ZXPc8PT0ZZNbgzZp&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1602
26,14 likes,6 images,Polygon Strattos S5D with upgraded carbon parts (Size S) (105 Groupset),"1,000",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size S 
105 Groupset/Shifters 

- Handlebar upgraded to Zipp Carbon Handle bar (40mm) (worth $300)
- Seat-post is OEM Carbon. (No brand) 
- Stem had it change to 80mm Easton Carbon stem (worth $70 )

If not price is for all the upgrades carbon parts 

The rest all is stock parts 

Bike is properly cleaned and taken care of because owner is very particular. please do chat me up for more details ",N,NA,NA,Y,Blk 151 Bedok Reservoir RoadKaki Bukit MRT Station (DT28)See 1+ locations,salmonhanroll,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,367,https://www.carousell.sg/p/polygon-strattos-s5d-with-upgraded-carbon-parts-size-s-105-groupset-1240516943/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=dn6VRbs_hNswnaQ8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1236
27,11 likes,3 images,Trek Madone SLR7 2022 in Prismatic Black size 52,"10,500",Lightly used,Meetup,5 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Stock Parts:
Size 52 gen 6 SLR frame
800 Series OCLV Carbon
Bontrager Aeolus Pro 51 Wheelset
Shimano Ultegra Di2 12Speed Groupset
Trek Madone aero VR-CF stem and Handlebar 

Bike bought May 2022 (can provide reciept)

Total Milage: 3000Km

Rfs: changing bike",N,NA,NA,Y,Sengkang MRT/LRT Interchange (NE16/STC),jamickx,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,49,https://www.carousell.sg/p/trek-madone-slr7-2022-in-prismatic-black-size-52-1242566627/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=RhKUZucfkwyXqkCD&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=317
28,4 likes,3 images,BICYCLE 6 SPEEDS GEAR CASSETTE FOR UPGRADE OR REPLACEMENT.,5 10,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","■AVAILABLE ■
BICYCLE 6 SPEEDS GEAR CASSETTE. 

● FOR UPGRADE. 
● FOR REPLACEMENT. 

VERY GOOD CONDITION. 
CAN TEST BEFORE BUY.

INTERESTED PLEASE ARRANGED PICK UP AT POTONG PASIR MRT.",N,NA,NA,Y,Potong Pasir MRT Station (NE10),3rd.scapfc,Joined 5 years ago,Very Responsive,Verified,1,0,1,4.9,27,https://www.carousell.sg/p/bicycle-6-speeds-gear-cassette-for-upgrade-or-replacement-1240315507/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=e8UBo6k3iv7O7SH-&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1318
29,5 likes,3 images,Siluro 3 (quick sell),500,Lightly used,Meetup,4 days ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","front derailleur gone ...but can be bought from shopee
rfs. no into cycling
price can nego",N,NA,NA,Y,Blk 138 Rivervale Street,philipoza025538,Joined 9 months ago,Very Responsive,Verified,1,0,1,5.0,1,https://www.carousell.sg/p/siluro-3-quick-sell-1241002844/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aeWCRZcn663Mub3G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=250
30,8 likes,6 images,"Specialized Tricross bicycle / road bike / road bicycle / gravel bicycle / gravel bike / 28"" bicycle / 28"" bike / Shimano bicycle / Shimano bike / trekking bicycle /  bike / bicycle",520,Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Like specialized Allez
Gravel road bike

28"" wheel size
3x9 speeds Shimano gear group
Carbon fork

Shimano tiagra shifter and brake
Shimano tiagra front d
Shimano Deore LX rear d

XXL size 

Panracer 700c tyre
Vero FSA crankset

New front d, new chain

Fully serviced, all gears can be engaged 

Quick release front and rear wheel


Delivery can be arranged",N,NA,NA,Y,"Towner RoadCentralised location
2 mins walk from bus stop
3 mins walk from MRT Station
Open space carpark available
8 mins cycling journey to and from kallang RIVERSIDE Park (PCN) ",owncuev,Joined 3 years ago,Very Responsive,Verified,1,0,1,4.9,255,https://www.carousell.sg/p/specialized-tricross-bicycle-road-bike-road-bicycle-gravel-bicycle-gravel-bike-28-bicycle-28-bike-shimano-bicycle-shimano-bike-trekking-bicycle-bike-bicycle-1243089867/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=40
